configuration,feature_mode,dimension,feature_map,feature_map_reps,train_requested,train_used,validation_requested,validation_used,classical_C,quantum_C,classical_accuracy,quantum_accuracy,quantum_cv_mean,quantum_cv_std,quantum_core_seconds,git_hash_recorded_at_run
QSVM_model_10-exact-1200-800-Cs1_Cq1,current,10,ZZ,2,1200,1200,800,800,1.0,1.0,0.96875,0.795,0.7616666666666667,0.024776781245530833,195.35678887367249,47c928b
QSVM_model_10-exact-1200-800-Cs1_Cq10,current,10,ZZ,2,1200,1200,800,800,1.0,10.0,0.96875,0.7925,0.7566666666666666,0.02857738033247044,195.0610044002533,47c928b
QSVM_model_10-exact-1400-600-Cs1_Cq1,current,10,ZZ,2,1400,1400,600,600,1.0,1.0,0.9733333333333334,0.8133333333333334,0.7657142857142858,0.02231499907401902,247.00859117507935,47c928b
QSVM_model_10-exact-1400-600-Cs1_Cq10,current,10,ZZ,2,1400,1400,600,600,1.0,10.0,0.9733333333333334,0.7983333333333333,0.7621428571428572,0.020898198340468282,247.37900066375732,47c928b
QSVM_model_10-exact-1600-600-Cs1_Cq1,current,10,ZZ,2,1600,1600,600,600,1.0,1.0,0.98,0.835,0.78875,0.015129648046137758,298.14157128334045,47c928b
QSVM_model_10-exact-2000-600-Cs1_Cq1,current,10,ZZ,2,2000,2000,600,600,1.0,1.0,0.97,0.8266666666666667,0.7785,0.018275666882497082,436.9307231903076,47c928b
QSVM_model_10-exact-2000-800-Cs1_Cq1,current,10,ZZ,2,2000,2000,800,800,1.0,1.0,0.975,0.8025,0.7455,0.015842979517754863,433.80476212501526,47c928b
QSVM_model_10-exact-600-400-Cs1_Cq1,current,10,ZZ,2,600,600,400,400,1.0,1.0,0.9775,0.8675,0.7616666666666667,0.029627314724385297,68.6870059967041,47c928b
QSVM_model_10-exact-600-400-Cs1_Cq10,current,10,ZZ,2,600,600,400,400,1.0,10.0,0.9775,0.865,0.7616666666666667,0.022110831935702697,68.38298535346985,47c928b
QSVM_model_10-exact-800-200-Cs1_Cq1,current,10,ZZ,2,800,800,200,200,1.0,1.0,0.975,0.84,0.7775,0.025186802099512358,100.58168506622314,47c928b
QSVM_model_10-exact-800-200-Cs1_Cq10,current,10,ZZ,2,800,800,200,200,1.0,10.0,0.975,0.83,0.78125,0.024044230077089185,101.61201548576355,47c928b
QSVM_model_12-exact-1200-800-Cs1_Cq1,current,12,ZZ,2,1200,1200,800,800,1.0,1.0,0.96875,0.79125,0.7425,0.022882550362909957,356.4951002597809,47c928b
QSVM_model_12-exact-1200-800-Cs1_Cq10,current,12,ZZ,2,1200,1200,800,800,1.0,10.0,0.96875,0.7925,0.7416666666666667,0.026220221204253776,360.8807020187378,47c928b
QSVM_model_12-exact-1400-600-Cs1_Cq1,current,12,ZZ,2,1400,1400,600,600,1.0,1.0,0.9733333333333334,0.84,0.7749999999999999,0.017053337694733304,460.86979055404663,47c928b
QSVM_model_12-exact-1400-600-Cs1_Cq1-r3,current,12,ZZ,3,1400,1400,600,600,1.0,1.0,0.9733333333333334,0.7866666666666666,0.7292857142857143,0.018680995472317156,507.0972328186035,47c928b
QSVM_model_12-exact-1400-600-Cs1_Cq10,current,12,ZZ,2,1400,1400,600,600,1.0,10.0,0.9733333333333334,0.8333333333333334,0.7778571428571428,0.023408528011677053,458.29483556747437,47c928b
QSVM_model_12-exact-1600-600-Cs1_Cq1,current,12,ZZ,2,1600,1600,600,600,1.0,1.0,0.98,0.875,0.783125,0.013491895715576829,558.4807035923004,47c928b
QSVM_model_12-exact-2000-600-Cs1_Cq1,current,12,ZZ,2,2000,2000,600,600,1.0,1.0,0.97,0.825,0.7595,0.01926136028425823,808.2752203941345,47c928b
QSVM_model_12-exact-2000-800-Cs1_Cq1,current,12,ZZ,2,2000,2000,800,800,1.0,1.0,0.975,0.86375,0.782,0.030141333746203088,835.7597210407257,47c928b
QSVM_model_12-exact-3480-2320-Cs1_Cq1,current,12,ZZ,2,3480,3480,2320,1160,1.0,1.0,0.9801724137931035,0.8801724137931034,0.8318965517241379,0.007548233066990636,2343.1738567352295,47c928b
QSVM_model_12-exact-4640-1160-Cs1_Cq1,current,12,ZZ,2,4640,4640,1160,1160,1.0,1.0,0.9827586206896551,0.8663793103448276,0.8400862068965518,0.008279902031163178,3920.372586250305,47c928b
QSVM_model_12-exact-600-400-Cs1_Cq1,current,12,ZZ,2,600,600,400,400,1.0,1.0,0.9775,0.845,0.74,0.01999999999999998,119.38469076156616,47c928b
QSVM_model_12-exact-600-400-Cs1_Cq10,current,12,ZZ,2,600,600,400,400,1.0,10.0,0.9775,0.85,0.7433333333333334,0.018559214542766756,117.50671219825745,47c928b
QSVM_model_12-exact-800-200-Cs1_Cq1,current,12,ZZ,2,800,800,200,200,1.0,1.0,0.975,0.84,0.76,0.010897247358851699,176.99539613723755,47c928b
QSVM_model_12-exact-800-200-Cs1_Cq10,current,12,ZZ,2,800,800,200,200,1.0,10.0,0.975,0.835,0.7637499999999999,0.012119199643540829,184.3724296092987,47c928b
QSVM_model_14-exact-2400-1600-Cs1_Cq1,current,14,ZZ,2,2400,2400,1600,1160,1.0,1.0,0.971551724137931,0.7991379310344827,0.75875,0.021866069605669877,5374.345712423325,47c928b
QSVM_model_14-exact-2800-1200-Cs1_Cq1,current,14,ZZ,2,2800,2800,1200,1160,1.0,1.0,0.9732758620689655,0.8327586206896552,0.7846428571428572,0.014312474935367085,6912.542475700378,47c928b
QSVM_model_14-exact-3200-800-Cs1_Cq1,current,14,ZZ,2,3200,3200,800,800,1.0,1.0,0.9825,0.87625,0.829375,0.009132274497626516,8424.145480394363,47c928b
QSVM_model_14-exact-3480-2320-Cs1_Cq1,current,14,ZZ,2,3480,3480,2320,1160,1.0,1.0,0.9801724137931035,0.8801724137931034,0.8304597701149425,0.008377804446616795,8635.145154714584,47c928b
QSVM_model_14-exact-4640-1160-Cs1_Cq1,current,14,ZZ,2,4640,4640,1160,1160,1.0,1.0,0.9827586206896551,0.8491379310344828,0.8170258620689654,0.01346594771708042,14726.694981098175,47c928b
QSVM_model_16-exact-2400-1600-Cs1_Cq1,current,16,ZZ,2,2400,2400,1600,1160,1.0,1.0,0.971551724137931,0.7862068965517242,0.73,0.02381205343704924,17571.742964029312,47c928b
QSVM_model_16-exact-2800-1200-Cs1_Cq1,current,16,ZZ,2,2800,2800,1200,1160,1.0,1.0,0.9732758620689655,0.8077586206896552,0.739642857142857,0.020435313572742815,22459.523447036743,47c928b
QSVM_model_16-exact-3200-800-Cs1_Cq1,current,16,ZZ,2,3200,3200,800,800,1.0,1.0,0.9825,0.84875,0.8025,0.017416093491365987,29605.704758882523,47c928b
QSVM_model_16-exact-3480-2320-Cs1_Cq1,current,16,ZZ,2,3480,3480,2320,1160,1.0,1.0,0.9801724137931035,0.8672413793103448,0.8097701149425287,0.008407321171452745,31160.891736745834,47c928b
QSVM_model_16-exact-4640-1160-Cs1_Cq1,current,16,ZZ,2,4640,4640,1160,1160,1.0,1.0,0.9827586206896551,0.821551724137931,0.7892241379310345,0.013417571048511536,56851.512201309204,47c928b
QSVM_model_4-exact-600-400-Cs1_Cq1,current,4,ZZFeatureMap,2,600,600,400,400,1.0,1.0,0.9775,0.7975,0.735,0.038151743807532015,33.30591535568237,47c928b
QSVM_model_4-exact-600-400-Cs1_Cq10,current,4,ZZFeatureMap,2,600,600,400,400,1.0,10.0,0.9775,0.7675,0.7416666666666666,0.04314059701848263,32.58312392234802,47c928b
QSVM_model_4-exact-600-400-Cs1_Cq100,current,4,ZZFeatureMap,2,600,600,400,400,1.0,100.0,0.9775,0.74,0.705,0.07314369419163898,33.3953332901001,47c928b
QSVM_model_4-exact-600-400-Cs1_Cq50,current,4,ZZFeatureMap,2,600,600,400,400,1.0,50.0,0.9775,0.78,0.7,0.04801620096962647,33.31374645233154,47c928b
QSVM_model_4-exact-700-300-Cs1_Cq1,current,4,ZZFeatureMap,2,700,700,300,300,1.0,1.0,0.9766666666666667,0.7833333333333333,0.7442857142857143,0.03481730744843984,41.336440086364746,47c928b
QSVM_model_4-exact-700-300-Cs1_Cq10,current,4,ZZFeatureMap,2,700,700,300,300,1.0,10.0,0.9766666666666667,0.7466666666666667,0.7371428571428572,0.0353986048381825,41.81159973144531,47c928b
QSVM_model_4-exact-700-300-Cs1_Cq100,current,4,ZZFeatureMap,2,700,700,300,300,1.0,100.0,0.9766666666666667,0.7266666666666667,0.7028571428571428,0.04030495994190255,41.32849168777466,47c928b
QSVM_model_4-exact-700-300-Cs1_Cq50,current,4,ZZFeatureMap,2,700,700,300,300,1.0,50.0,0.9766666666666667,0.7333333333333333,0.7157142857142857,0.0339266916772512,40.40903115272522,47c928b
QSVM_model_4-exact-800-200-Cs1_Cq1,current,4,ZZFeatureMap,2,800,800,200,200,1.0,1.0,0.975,0.775,0.7675,0.019525624189766614,49.246455669403076,47c928b
QSVM_model_4-exact-800-200-Cs1_Cq10,current,4,ZZFeatureMap,2,800,800,200,200,1.0,10.0,0.975,0.735,0.7725,0.025799709300687878,48.48051929473877,47c928b
QSVM_model_4-exact-800-200-Cs1_Cq100,current,4,ZZFeatureMap,2,800,800,200,200,1.0,100.0,0.975,0.665,0.74375,0.034686092313779025,51.10386300086975,47c928b
QSVM_model_4-exact-800-200-Cs1_Cq50,current,4,ZZFeatureMap,2,800,800,200,200,1.0,50.0,0.975,0.715,0.75875,0.044476117186642974,50.75995993614197,47c928b
QSVM_model_6-exact-600-400-Cs1_Cq1,current,6,ZZFeatureMap,2,600,600,400,400,1.0,1.0,0.9775,0.8425,0.78,0.026666666666666672,40.545079469680786,47c928b
QSVM_model_6-exact-600-400-Cs1_Cq10,current,6,ZZFeatureMap,2,600,600,400,400,1.0,10.0,0.9775,0.8,0.7533333333333333,0.017159383568311704,41.599907875061035,47c928b
QSVM_model_6-exact-600-400-Cs1_Cq100,current,6,ZZFeatureMap,2,600,600,400,400,1.0,100.0,0.9775,0.805,0.755,0.011303883305208779,40.216952085494995,47c928b
QSVM_model_6-exact-600-400-Cs1_Cq50,current,6,ZZFeatureMap,2,600,600,400,400,1.0,50.0,0.9775,0.805,0.755,0.011303883305208779,41.72919034957886,47c928b
QSVM_model_6-exact-700-300-Cs1_Cq1,current,6,ZZFeatureMap,2,700,700,300,300,1.0,1.0,0.9766666666666667,0.82,0.75,0.02515259551665572,51.024970054626465,47c928b
QSVM_model_6-exact-700-300-Cs1_Cq10,current,6,ZZFeatureMap,2,700,700,300,300,1.0,10.0,0.9766666666666667,0.7866666666666666,0.7342857142857143,0.021852940772540512,53.487642765045166,47c928b
QSVM_model_6-exact-700-300-Cs1_Cq100,current,6,ZZFeatureMap,2,700,700,300,300,1.0,100.0,0.9766666666666667,0.7866666666666666,0.7342857142857143,0.021852940772540512,51.812392234802246,47c928b
QSVM_model_6-exact-700-300-Cs1_Cq50,current,6,ZZFeatureMap,2,700,700,300,300,1.0,50.0,0.9766666666666667,0.7866666666666666,0.7342857142857143,0.021852940772540512,49.68673491477966,47c928b
QSVM_model_6-exact-800-200-Cs1_Cq1,current,6,ZZFeatureMap,2,800,800,200,200,1.0,1.0,0.975,0.835,0.8025,0.03504461442219045,60.493897914886475,47c928b
QSVM_model_6-exact-800-200-Cs1_Cq10,current,6,ZZFeatureMap,2,800,800,200,200,1.0,10.0,0.975,0.82,0.7625,0.020539595906443744,61.03444790840149,47c928b
QSVM_model_6-exact-800-200-Cs1_Cq100,current,6,ZZFeatureMap,2,800,800,200,200,1.0,100.0,0.975,0.82,0.76625,0.017940875118009177,59.29649090766907,47c928b
QSVM_model_6-exact-800-200-Cs1_Cq50,current,6,ZZFeatureMap,2,800,800,200,200,1.0,50.0,0.975,0.82,0.76625,0.017940875118009177,59.75809073448181,47c928b
QSVM_model_8-exact-1200-800-Cs1_Cq1,current,8,ZZFeatureMap,2,1200,1200,800,800,1.0,1.0,0.96875,0.75,0.7216666666666667,0.004859126579037734,138.97287726402283,47c928b
QSVM_model_8-exact-1200-800-Cs1_Cq1-r3,current,8,ZZ,3,1200,1200,800,800,1.0,1.0,0.96875,0.7,0.6599999999999999,0.029415604324537988,164.61512756347656,47c928b
QSVM_model_8-exact-1200-800-Cs1_Cq10,current,8,ZZFeatureMap,2,1200,1200,800,800,1.0,10.0,0.96875,0.7325,0.72,0.012472191289246471,137.0572967529297,47c928b
QSVM_model_8-exact-1400-600-Cs1_Cq1,current,8,ZZFeatureMap,2,1400,1400,600,600,1.0,1.0,0.9733333333333334,0.7733333333333333,0.7685714285714286,0.030338229402279003,174.0904242992401,47c928b
QSVM_model_8-exact-1400-600-Cs1_Cq10,current,8,ZZFeatureMap,2,1400,1400,600,600,1.0,10.0,0.9733333333333334,0.7433333333333333,0.7642857142857145,0.03327375628243461,181.25136423110962,47c928b
QSVM_model_8-exact-600-400-Cs1_Cq1,current,8,ZZFeatureMap,2,600,600,400,400,1.0,1.0,0.9775,0.88,0.7766666666666666,0.029059326290271175,50.09698820114136,47c928b
QSVM_model_8-exact-600-400-Cs1_Cq1-Pauli_XX,current,8,Pauli_XX,2,600,600,400,400,1.0,1.0,0.9775,0.8475,0.7733333333333333,0.027588242262078094,65.90480256080627,47c928b
QSVM_model_8-exact-600-400-Cs1_Cq1-Pauli_ZZ_XX,current,8,Pauli_ZZ_XX,2,600,600,400,400,1.0,1.0,0.9775,0.775,0.6900000000000001,0.02953340857778223,80.346750497818,47c928b
QSVM_model_8-exact-600-400-Cs1_Cq1-Pauli_full,current,8,Pauli_full,2,600,600,400,400,1.0,1.0,0.9775,0.6525,0.63,0.03231786571610885,249.79793286323547,47c928b
QSVM_model_8-exact-600-400-Cs1_Cq1-r3,current,8,ZZ,3,600,600,400,400,1.0,1.0,0.9775,0.7875,0.6966666666666667,0.029627314724385276,63.754939556121826,47c928b
QSVM_model_8-exact-600-400-Cs1_Cq10,current,8,ZZFeatureMap,2,600,600,400,400,1.0,10.0,0.9775,0.875,0.79,0.0219848432637882,51.75414681434631,47c928b
QSVM_model_8-exact-600-400-Cs1_Cq100,current,8,ZZFeatureMap,2,600,600,400,400,1.0,100.0,0.9775,0.875,0.79,0.0219848432637882,51.32464361190796,47c928b
QSVM_model_8-exact-600-400-Cs1_Cq50,current,8,ZZFeatureMap,2,600,600,400,400,1.0,50.0,0.9775,0.875,0.79,0.0219848432637882,50.602699756622314,47c928b
QSVM_model_8-exact-700-300-Cs1_Cq1,current,8,ZZFeatureMap,2,700,700,300,300,1.0,1.0,0.9766666666666667,0.81,0.7257142857142858,0.03428571428571428,63.623618602752686,47c928b
QSVM_model_8-exact-700-300-Cs1_Cq10,current,8,ZZFeatureMap,2,700,700,300,300,1.0,10.0,0.9766666666666667,0.82,0.7357142857142858,0.03752550153303911,63.29138445854187,47c928b
QSVM_model_8-exact-700-300-Cs1_Cq100,current,8,ZZFeatureMap,2,700,700,300,300,1.0,100.0,0.9766666666666667,0.82,0.7357142857142858,0.03752550153303911,65.38285231590271,47c928b
QSVM_model_8-exact-700-300-Cs1_Cq50,current,8,ZZFeatureMap,2,700,700,300,300,1.0,50.0,0.9766666666666667,0.82,0.7357142857142858,0.03752550153303911,61.29029893875122,47c928b
QSVM_model_8-exact-800-200-Cs1_Cq1,current,8,ZZFeatureMap,2,800,800,200,200,1.0,1.0,0.975,0.86,0.79125,0.027556759606310766,73.49468970298767,47c928b
QSVM_model_8-exact-800-200-Cs1_Cq1-Pauli_XX,current,8,Pauli_XX,2,800,800,200,200,1.0,1.0,0.975,0.87,0.7925000000000001,0.024173849507267142,95.5255880355835,47c928b
QSVM_model_8-exact-800-200-Cs1_Cq1-Pauli_ZZ_XX,current,8,Pauli_ZZ_XX,2,800,800,200,200,1.0,1.0,0.975,0.79,0.7687499999999999,0.019764235376052385,111.37507343292236,47c928b
QSVM_model_8-exact-800-200-Cs1_Cq1-Pauli_full,current,8,Pauli_full,2,800,800,200,200,1.0,1.0,0.975,0.66,0.66875,0.018540496217739136,321.3794734477997,47c928b
QSVM_model_8-exact-800-200-Cs1_Cq10,current,8,ZZFeatureMap,2,800,800,200,200,1.0,10.0,0.975,0.875,0.79375,0.018114220932736787,74.78672766685486,47c928b
QSVM_model_8-exact-800-200-Cs1_Cq100,current,8,ZZFeatureMap,2,800,800,200,200,1.0,100.0,0.975,0.875,0.79375,0.018114220932736787,76.54664540290833,47c928b
QSVM_model_8-exact-800-200-Cs1_Cq50,current,8,ZZFeatureMap,2,800,800,200,200,1.0,50.0,0.975,0.875,0.79375,0.018114220932736787,73.34293341636658,47c928b
